frame	seconds	events	node_changes	network_moves	cohort_moves	tx_started	tx_ended
294	4.704	0	0	0	0	0	0
295	4.72	0	0	0	0	0	0
296	4.736	0	0	0	0	0	0
297	4.752	0	0	0	0	0	0
298	4.768	0	0	0	0	0	0
299	4.784	0	0	0	0	0	0
300	4.8	0	0	0	0	0	0
301	4.816	0	0	0	0	0	0
302	4.832	0	0	0	0	0	0
303	4.848	0	0	0	0	0	0
304	4.864	0	0	0	0	0	0
305	4.88	0	0	0	0	0	0
306	4.896	0	0	0	0	0	0
307	4.912	0	0	0	0	0	0
308	4.928	0	0	0	0	0	0
309	4.944	0	0	0	0	0	0
310	4.96	0	0	0	0	0	0
311	4.976	0	0	0	0	0	0
312	4.992	0	0	0	0	0	0
313	5.008	6	1	0	12	0	0
314	5.024	0	0	0	0	0	0
315	5.04	0	0	0	0	0	0
316	5.056	0	0	0	0	0	0
317	5.072	0	0	0	0	0	0
318	5.088	0	0	0	0	0	0
319	5.104	0	0	0	0	0	0
320	5.12	0	0	0	0	0	0
321	5.136	0	0	0	0	0	0
322	5.152	0	0	0	0	0	0
323	5.168	0	0	0	0	0	0
324	5.184	0	0	0	0	0	0
325	5.2	0	0	0	0	0	0
326	5.216	0	0	0	0	0	0
327	5.232	0	0	0	0	0	0
328	5.248	0	0	0	0	0	0
329	5.264	0	0	0	0	0	0
330	5.28	0	0	0	0	0	0
331	5.296	0	0	0	0	0	0
332	5.312	0	0	0	0	0	0
333	5.328	0	0	0	0	0	0
334	5.344	0	0	0	0	0	0
335	5.36	0	0	0	0	0	0
336	5.376	0	0	0	0	0	0
337	5.392	0	0	0	0	0	0
338	5.408	0	0	0	0	0	0
339	5.424	0	0	0	0	0	0
340	5.44	0	0	0	0	0	0
341	5.456	0	0	0	0	0	0
342	5.472	0	0	0	0	0	0
343	5.488	0	0	0	0	0	0
344	5.50103616	2	0	0	0	0	0
