frame	seconds	events	node_changes	network_moves	cohort_moves	tx_started	tx_ended
301	4.816	0	0	0	0	0	0
302	4.832	15	3	0	2	9	5
303	4.848	9	0	0	0	4	5
304	4.864	4	1	0	1	0	3
305	4.88	14	2	0	2	3	11
306	4.896	1	0	0	0	0	1
307	4.912	2	0	0	0	0	2
308	4.928	2	0	0	0	0	2
309	4.944	3	0	0	0	0	3
310	4.96	6	0	0	0	3	3
311	4.976	4	0	0	0	3	1
312	4.992	1	0	0	0	0	1
313	5.008	14	3	0	11	8	3
314	5.024	21	3	0	122	10	9
315	5.04	7	1	0	1	4	3
316	5.056	17	2	0	6	8	9
317	5.072	8	1	0	1	3	5
318	5.088	28	5	0	8	20	8
319	5.104	5	0	0	0	0	5
320	5.12	25	4	0	5	16	9
321	5.136	24	3	0	3	11	12
322	5.152	17	2	0	202	4	10
323	5.168	18	2	0	136	8	10
324	5.184	6	0	0	0	0	6
325	5.2	17	3	0	4	12	5
326	5.216	5	0	0	0	0	5
327	5.232	25	4	0	160	15	9
328	5.248	6	0	0	0	0	6
329	5.264	16	2	0	2	7	8
330	5.28	6	1	0	1	4	2
331	5.296	12	1	0	120	7	5
332	5.312	3	0	0	0	0	3
333	5.328	3	0	0	0	2	1
334	5.344	7	1	0	1	4	3
335	5.36	7	1	0	1	4	3
336	5.376	2	0	0	0	0	2
337	5.392	2	0	0	0	0	2
338	5.408	0	0	0	0	0	0
339	5.424	6	1	0	116	4	2
340	5.44	1	0	0	0	0	1
341	5.456	12	2	0	148	6	4
342	5.472	6	1	0	1	2	2
343	5.488	6	1	0	1	4	2
344	5.504	8	0	0	0	1	7
345	5.52	8	2	0	2	4	4
346	5.536	0	0	0	0	0	0
347	5.552	1	0	0	0	0	1
348	5.568	3	0	0	0	3	0
349	5.584	10	1	0	1	0	10
350	5.6	0	0	0	0	0	0
351	5.616	0	0	0	0	0	0
352	5.632	0	0	0	0	0	0
353	5.648	4	1	0	1	0	4
354	5.664	0	0	0	0	0	0
